hex_cor1,hex_cor2,hex_ponta1,hex_ponta2,idade_minima,nivel_graduacao,nome_graduacao,tipo_publico,titulo_graduacao,certificado_ou_diploma,frase,corda
#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,0,1,1° INFANTIL - CRUA,INFANTIL,ALUNO INFANTIL,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA
#999999,#FFFFFF,#999999,#FFFFFF,0,2,2° INFANTIL -  CRUA / CINZA,INFANTIL,ALUNO INFANTIL,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA / CINZA
#FFFF00,#FFFFFF,#FFFF00,#FFFFFF,0,3,3° INFANTIL -  CRUA / AMARELA,INFANTIL,ALUNO INFANTIL,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA / AMARELA
#FF6600,#FFFFFF,#FF6600,#FFFFFF,0,4,4° INFANTIL -  CRUA / LARANJA,INFANTIL,ALUNO INFANTIL,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA / LARANJA
#009A00,#FFFFFF,#009A00,#FFFFFF,0,5,5° INFANTIL -  CRUA / VERDE,INFANTIL,ALUNO INFANTIL,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA / VERDE
#0000FF,#FFFFFF,#0000FF,#FFFFFF,0,6,6° INFANTIL -  CRUA / AZUL,INFANTIL,ALUNO INFANTIL,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA / AZUL
#9200AC,#FFFFFF,#9200AC,#FFFFFF,12,7,7° INFANTIL - CRUA / ROXO,INFANTIL,ALUNO INFANTIL,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA / ROXO
#402A20,#FFFFFF,#402A20,#FFFFFF,12,8,8° INFANTIL -  CRUA / MARROM,INFANTIL,ALUNO INFANTIL,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA / MARROM
#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,13,9,1° ADULTO - CRUA,ADULTO,ALUNO,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CRUA
#999999,#999999,#999999,#999999,13,10,2° ADULTO -  CINZA,ADULTO,ALUNO,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",CINZA
#FFFF00,#FFFF00,#FFFF00,#FFFF00,14,11,3° ADULTO - AMARELO,ADULTO,ALUNO,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",AMARELO
#FF6600,#FF6600,#FF6600,#FF6600,14,12,4° ADULTO - LARANJA,ADULTO,ALUNO,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",LARANJA
#009A00,#009A00,#009A00,#009A00,17,13,5° ADULTO - VERDE,ADULTO,GRADUADO,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",VERDE
#0000FF,#0000FF,#0000FF,#0000FF,17,14,6° ADULTO - AZUL,ADULTO,GRADUADO,CERTIFICADO,"CERTIFICAMOS QUE O(A) ALUNO(A) ACIMA ESTÁ APTO(A) E APROVADO(A) PARA RECEBER A GRADUAÇÃO EM CAPOEIRA, POR DEMONSTRAR INTERESSE NA ARTE E CULTURA BRASILEIRA, SENDO RECONHECIDO(A) PELOS MESTRES, CONTRAMESTRES, PROFESSORES E FORMADOS DO GRUPO.",AZUL
#9200AC,#0000FF,#9200AC,#0000FF,18,15,MONITOR - AZUL / ROXO,ADULTO,MONITOR,CERTIFICADO,"CERTIFICAMOS QUE, {nome}, PORTADOR DO CPF, {cpf}, CONCLUIU COM ÊXITO O CURSO DE CAPOEIRA, DEMONSTRANDO PLENO DOMÍNIO E HABILIDADE NESSA ARTE. COMO RESULTADO DE SEU DESEMPENHO EXCEPCIONAL, É RECONHECIDO COMO APTO E APROVADO PARA EXERCER A FUNÇÃO DE PROFISSIONAL NESSA ÁREA, OSTENTANDO O TÍTULO DE ""{titulo_graduacao}"", SENDO ATRIBUÍDA A CORDA ""{corda}"" EM SUA GRADUAÇÃO.",AZUL / ROXO
#9200AC,#9200AC,#9200AC,#9200AC,22,16,INSTRUTOR  - ROXO,ADULTO,INSTRUTOR,DIPLOMA,"CERTIFICAMOS QUE, {nome}, PORTADOR DO CPF, {cpf}, CONCLUIU COM ÊXITO O CURSO DE CAPOEIRA, DEMONSTRANDO PLENO DOMÍNIO E HABILIDADE NESSA ARTE. COMO RESULTADO DE SEU DESEMPENHO EXCEPCIONAL, É RECONHECIDO COMO APTO E APROVADO PARA EXERCER A FUNÇÃO DE PROFISSIONAL NESSA ÁREA, OSTENTANDO O TÍTULO DE ""{titulo_graduacao}"", SENDO ATRIBUÍDA A CORDA ""{corda}"" EM SUA GRADUAÇÃO.",ROXA
#402A20,#402A20,#402A20,#402A20,26,17,PROFESSOR - MARROM,ADULTO,PROFESSOR,DIPLOMA,"CERTIFICAMOS QUE, {nome}, PORTADOR DO CPF, {cpf}, CONCLUIU COM ÊXITO O CURSO DE CAPOEIRA, DEMONSTRANDO PLENO DOMÍNIO E HABILIDADE NESSA ARTE. COMO RESULTADO DE SEU DESEMPENHO EXCEPCIONAL, É RECONHECIDO COMO APTO E APROVADO PARA EXERCER A FUNÇÃO DE PROFISSIONAL NESSA ÁREA, OSTENTANDO O TÍTULO DE ""{titulo_graduacao}"", SENDO ATRIBUÍDA A CORDA ""{corda}"" EM SUA GRADUAÇÃO.",PROFESSOR - MARROM
#402A20,#FF0000,#402A20,#FF0000,26,18,C. MESTRE - MARROM / VERMELHO,ADULTO,C. MESTRE,DIPLOMA,"CERTIFICAMOS QUE, {nome}, PORTADOR DO CPF, {cpf}, CONCLUIU COM ÊXITO O CURSO DE CAPOEIRA, DEMONSTRANDO PLENO DOMÍNIO E HABILIDADE NESSA ARTE. COMO RESULTADO DE SEU DESEMPENHO EXCEPCIONAL, É RECONHECIDO COMO APTO E APROVADO PARA EXERCER A FUNÇÃO DE PROFISSIONAL NESSA ÁREA, OSTENTANDO O TÍTULO DE ""{titulo_graduacao}"", SENDO ATRIBUÍDA A CORDA ""{corda}"" EM SUA GRADUAÇÃO.",MARROM / VERMELHA
#FF0000,#FF0000,#FF0000,#FF0000,26,19,MESTRE - VERMELHO,ADULTO,MESTRE,DIPLOMA,"CERTIFICAMOS QUE, {nome}, PORTADOR DO CPF, {cpf}, CONCLUIU COM ÊXITO O CURSO DE CAPOEIRA, DEMONSTRANDO PLENO DOMÍNIO E HABILIDADE NESSA ARTE. COMO RESULTADO DE SEU DESEMPENHO EXCEPCIONAL, É RECONHECIDO COMO APTO E APROVADO PARA EXERCER A FUNÇÃO DE PROFISSIONAL NESSA ÁREA, OSTENTANDO O TÍTULO DE ""{titulo_graduacao}"", SENDO ATRIBUÍDA A CORDA ""{corda}"" EM SUA GRADUAÇÃO.",VERMELHO
#FF0000,#FFFFFF,#FF0000,#FFFFFF,26,20,MESTRE 2° GRAU - VERMELHO/BRANCO,ADULTO,MESTRE 2° GRAU,DIPLOMA,"CERTIFICAMOS QUE, {nome}, PORTADOR DO CPF, {cpf}, CONCLUIU COM ÊXITO O CURSO DE CAPOEIRA, DEMONSTRANDO PLENO DOMÍNIO E HABILIDADE NESSA ARTE. COMO RESULTADO DE SEU DESEMPENHO EXCEPCIONAL, É RECONHECIDO COMO APTO E APROVADO PARA EXERCER A FUNÇÃO DE PROFISSIONAL NESSA ÁREA, OSTENTANDO O TÍTULO DE ""{titulo_graduacao}"", SENDO ATRIBUÍDA A CORDA ""{corda}"" EM SUA GRADUAÇÃO.",VERMELHA/BRANCO